"Date","Price","Open","High","Low","Vol.","Change %"
"01/05/2008","26.10","23.71","26.85","23.52","79.80K","9.30%"
"01/04/2008","23.88","21.90","25.67","21.80","96.97K","7.23%"
"01/03/2008","22.27","21.55","22.79","20.30","80.74K","4.50%"
"01/02/2008","21.31","19.05","22.10","18.76","94.64K","11.57%"
"01/01/2008","19.10","22.50","24.00","18.60","105.46K","-14.77%"
"01/12/2007","22.41","0.04","22.60","0.00","13.08K","224,000.00%"
"01/11/2007","0.01","0.08","0.12","0.01","60.08K","-88.89%"
"01/10/2007","0.09","0.06","0.12","0.06","68.81K","12.50%"
"01/09/2007","0.08","0.10","0.10","0.05","66.79K","-20.00%"
"01/08/2007","0.10","0.11","0.12","0.08","67.26K","-16.67%"
"01/07/2007","0.12","0.14","0.20","0.10","82.30K","-7.69%"
"01/06/2007","0.13","0.27","0.32","0.11","12.06K","-55.17%"
"01/05/2007","0.29","0.55","0.59","0.15","","-45.28%"
"01/04/2007","0.53","1.35","1.45","0.46","","-59.54%"
"01/03/2007","1.31","1.00","1.50","0.95","0.10K","37.89%"
"01/02/2007","0.95","2.35","2.35","0.80","","-59.57%"
"01/01/2007","2.35","6.50","6.50","2.30","0.01K","-64.39%"
"01/12/2006","6.60","7.70","8.00","6.40","4.19K","-19.51%"
"01/11/2006","8.20","11.60","11.60","7.55","0.72K","-27.11%"
"01/10/2006","11.25","12.10","13.20","10.55","0.08K","-15.41%"
"01/09/2006","13.30","16.45","17.15","12.00","0.17K","-19.39%"
"01/08/2006","16.50","17.10","17.70","15.70","0.04K","-2.08%"
"01/07/2006","16.85","16.75","18.05","16.25","0.01K","1.81%"
"01/06/2006","16.55","16.95","18.00","14.60","0.20K","-4.89%"
"01/05/2006","17.40","13.00","20.50","8.90","0.42K","22.11%"
"01/04/2006","14.25","28.55","32.05","14.05","0.21K","-49.82%"
"01/03/2006","28.40","28.15","28.50","27.50","2.08K","3.65%"
"01/02/2006","27.40","27.40","28.90","26.55","1.34K","-0.54%"
"01/01/2006","27.55","22.75","27.90","22.70","2.92K","24.66%"
"01/12/2005","22.10","21.30","23.40","21.30","2.02K","9.68%"
"01/11/2005","20.15","21.00","23.00","19.00","7.56K","-7.99%"
"01/10/2005","21.90","23.60","23.65","21.35","12.38K","-4.16%"
"01/09/2005","22.85","24.75","24.75","21.75","10.80K","-4.59%"
"01/08/2005","23.95","20.90","22.90","20.90","4.66K","7.16%"
"01/07/2005","22.35","27.00","29.80","18.75","7.80K","-13.37%"
"01/06/2005","25.80","19.60","20.50","19.15","","29.65%"
"01/05/2005","19.90","19.75","19.75","19.75","","20.61%"
