QuarterEnd,X1_Scrap_Price,X2_Electricity_Price,X3_Natural_Gas_Price,X4_Diesel_Price,X5_Rail_Price,X7_Hourly_Wage,X10_Graphite_Price,X13_PPI_All_Commodities,X8_US_Scrap_Exports,X9_US_Dollar_Index,X6_Disaster_Cost_Sum,X6_Disaster_Event_Count,X11_Economic_Policy_Uncertainty
1977-03-31,,,,,,,59.4,63.46666666666666,,,0.0,0.0,71.58147557576497
1977-06-30,,,,,,,59.5,65.03333333333335,,,0.0,0.0,84.17226918538411
1977-09-30,,,,,,,59.9,65.13333333333333,,,0.0,0.0,75.28674570719402
1977-12-31,,,,,,,59.9,65.86666666666666,,,0.0,0.0,104.28036499023438
1978-03-31,,,,,,,64.43333333333334,67.46666666666665,,,0.0,0.0,102.75960032145183
1978-06-30,,,,,,,64.9,69.5,,,0.0,0.0,82.41749572753906
1978-09-30,,,,,,,66.56666666666668,70.60000000000001,,,0.0,0.0,87.76409403483073
1978-12-31,,,,,,,67.9,72.2,,,0.0,0.0,87.71687571207683
1979-03-31,,,,,,,69.06666666666666,74.83333333333333,,,0.0,0.0,94.95385996500652
1979-06-30,,,,,,,70.96666666666667,77.46666666666667,,,0.0,0.0,94.37359110514323
1979-09-30,,,,,,,73.0,79.89999999999999,,,0.0,0.0,96.51238505045573
1979-12-31,,,,,,,75.03333333333335,82.7,,,0.0,0.0,113.89553578694661
1980-03-31,,,,,,,80.2,86.53333333333335,,,0.0,0.0,88.16813659667969
1980-06-30,,,,,,,86.0,88.26666666666667,,,0.0,0.0,84.75935872395833
1980-09-30,,,,,,,87.33333333333333,91.16666666666667,,,0.0,0.0,92.50284322102864
1980-12-31,,,,,,,90.86666666666667,93.26666666666667,,,0.0,0.0,89.7541987101237
1981-03-31,,,,,,,93.66666666666667,96.10000000000001,,,0.0,0.0,90.10408020019531
1981-06-30,,,,,,,101.10000000000001,98.26666666666667,,,0.0,0.0,92.43068186442058
1981-09-30,,,,,,,101.76666666666667,98.93333333333334,,,0.0,0.0,97.06318918863933
1981-12-31,,,,,,,104.0,98.83333333333333,,,0.0,0.0,89.0319341023763
1982-03-31,,,,,,,109.66666666666667,99.7,,,0.0,0.0,114.7031021118164
1982-06-30,,,,,,,109.8,99.8,,,0.0,0.0,118.6019058227539
1982-09-30,,,,,,,104.63333333333333,100.23333333333333,,,0.0,0.0,113.52560170491536
1982-12-31,,,,,,,102.0,100.33333333333333,,,0.0,0.0,107.75001525878906
1983-03-31,,,,,,,102.10000000000001,100.36666666666667,,,0.0,0.0,113.26884206136067
1983-06-30,,,,,,,102.40000000000002,100.73333333333333,,,0.0,0.0,102.19148254394531
1983-09-30,,,,,,,102.53333333333335,101.7,,,0.0,0.0,94.31889088948567
1983-12-31,,,,,,,102.59999999999998,102.2,,,0.0,0.0,92.7075907389323
1984-03-31,,,,,,,102.59999999999998,103.33333333333333,,,0.0,0.0,114.30703481038411
1984-06-30,,,,,,,102.59999999999998,104.03333333333335,,,0.0,0.0,93.93660990397136
1984-09-30,,,,,,,102.59999999999998,103.8,,,0.0,0.0,96.7689946492513
1984-12-31,,,,,,,102.7,103.53333333333335,,,0.0,0.0,109.2932840983073
1985-03-31,,,,,,,99.8,103.26666666666667,,,0.0,0.0,94.27449544270833
1985-06-30,,,,,,,100.0,103.36666666666667,,,0.0,0.0,100.80989074707031
1985-09-30,,,,,,,101.66666666666667,102.66666666666667,,,0.0,0.0,111.28219350179036
1985-12-31,,,,,,,105.09999999999998,103.3,,,0.0,0.0,94.12515004475911
1986-03-31,,,,,,,104.23333333333333,101.73333333333333,,,0.0,0.0,127.8066889444987
1986-06-30,,,,,,,101.53333333333335,99.83333333333333,,,0.0,0.0,116.63860575358073
1986-09-30,,,,,,,101.60000000000001,99.36666666666667,,,0.0,0.0,125.0059585571289
1986-12-31,,,,,,,99.66666666666667,99.73333333333333,,,0.0,0.0,92.70969645182292
1987-03-31,,,,,,,97.73333333333333,100.89999999999999,,,0.0,0.0,95.48632558186848
1987-06-30,,,,,,,97.06666666666666,102.5,,,0.0,0.0,91.23008728027344
1987-09-30,,,,,,,97.26666666666667,103.66666666666667,,,0.0,0.0,64.68305333455403
1987-12-31,,,,,,,96.39999999999999,104.16666666666667,,,0.0,0.0,167.47857666015625
1988-03-31,,,,,,,95.46666666666665,104.76666666666667,,,0.0,0.0,109.08645629882812
1988-06-30,,,,,,,95.39999999999999,106.5,,,0.0,0.0,95.09007008870442
1988-09-30,,,,,,,96.39999999999999,108.0,,,0.0,0.0,87.02746327718098
1988-12-31,,,,,,,96.76666666666667,108.5,,,0.0,0.0,92.77196756998698
1989-03-31,,,,,,,96.56666666666666,110.93333333333334,,,0.0,0.0,70.4334348042806
1989-06-30,,,,,,,98.66666666666667,112.8,,,0.0,0.0,90.63966878255208
1989-09-30,,,,,,,99.56666666666666,112.39999999999999,,,0.0,0.0,78.68712615966797
1989-12-31,,,,,,,99.93333333333334,112.83333333333333,,,0.0,0.0,95.09790802001953
1990-03-31,,,,,,,101.5,114.5,,,0.0,0.0,102.40972646077473
1990-06-30,,,,,,,102.43333333333334,114.33333333333333,,,0.0,0.0,95.56681569417317
1990-09-30,,,,,,,101.86666666666667,116.46666666666665,,,0.0,0.0,130.5137710571289
1990-12-31,,,,,,,102.46666666666665,119.86666666666667,,,0.0,0.0,141.3947957356771
1991-03-31,,,,,,,103.0,117.46666666666665,,,0.0,0.0,139.4886957804362
1991-06-30,,,,,,,103.83333333333333,116.3,,,0.0,0.0,87.02716827392578
