"Date","Price","Open","High","Low","Vol.","Change %"
"01/03/2015","50.33","50.33","50.33","50.33","1.51K","-19.30%"
"01/02/2015","62.37","62.37","62.37","62.37","0.57K","2.13%"
"01/01/2015","61.07","61.07","61.07","61.07","0.61K","-14.59%"
"01/12/2014","71.50","71.50","71.50","71.50","0.14K","-0.53%"
"01/11/2014","71.88","70.00","70.20","70.00","0.26K","-8.70%"
"01/10/2014","78.73","78.73","78.73","78.73","0.66K","1.50%"
"01/09/2014","77.57","77.57","82.75","81.75","0.26K","-11.42%"
"01/08/2014","87.57","87.57","90.00","87.57","0.03K","-8.30%"
"01/07/2014","95.50","95.50","96.50","96.00","0.25K","2.05%"
"01/06/2014","93.58","93.58","90.75","89.75","0.12K","1.03%"
"01/05/2014","92.63","92.63","103.50","97.25","0.25K","-10.72%"
"01/04/2014","103.75","103.75","103.75","110.00","0.09K","-10.37%"
"01/03/2014","115.75","111.25","112.75","107.50","0.57K","1.09%"
"01/02/2014","114.50","115.00","119.25","113.75","0.91K","-3.58%"
"01/01/2014","118.75","122.50","123.25","122.00","0.67K","-10.21%"
"01/12/2013","132.25","130.00","131.50","130.00","0.34K","-1.31%"
"01/11/2013","134.00","132.00","133.25","131.50","0.78K","3.52%"
"01/10/2013","129.44","125.75","125.75","125.75","0.56K","2.53%"
"01/09/2013","126.25","126.00","126.00","125.75","0.20K","-4.36%"
"01/08/2013","132.00","132.00","135.00","132.00","0.33K","7.54%"
"01/07/2013","122.75","122.75","122.50","116.75","0.62K","7.60%"
"01/06/2013","114.08","107.75","115.00","107.75","0.48K","4.58%"
"01/05/2013","109.08","109.08","116.50","115.00","0.35K","-12.33%"
"01/04/2013","124.42","124.42","124.42","124.42","0.18K","-4.96%"
"01/03/2013","130.92","130.92","130.92","130.92","0.39K","-8.98%"
"01/02/2013","143.83","143.83","143.83","143.83","0.13K","-2.16%"
"01/01/2013","147.00","147.00","147.00","147.00","0.10K","4.84%"
"01/12/2012","140.22","140.22","140.22","140.22","0.17K","25.95%"
"01/11/2012","111.33","111.33","111.33","111.33","0.14K","-2.20%"
"01/10/2012","113.83","113.83","113.83","113.83","0.05K","7.18%"
"01/09/2012","106.20","106.20","106.20","106.20","0.03K","17.74%"
"01/08/2012","90.20","90.20","90.20","90.20","0.02K","-24.64%"
"01/07/2012","119.70","119.70","119.70","119.70","","-8.21%"
"01/06/2012","130.40","130.40","130.40","130.40","0.02K","-0.61%"
"01/05/2012","131.20","131.20","131.20","131.20","","-6.29%"
"01/04/2012","140.00","140.00","140.00","140.00","0.02K","-0.92%"
"01/03/2012","141.30","141.30","141.30","141.30","0.02K","1.80%"
"01/02/2012","138.80","138.80","138.80","138.80","0.03K","-4.28%"
"01/01/2012","145.00","145.00","145.00","145.00","0.02K","6.23%"
"01/12/2011","136.50","136.50","136.50","136.50","","2.48%"
"01/11/2011","133.20","133.20","133.20","133.20","","3.42%"
"01/10/2011","128.80","128.80","128.80","128.80","","-13.15%"
"01/09/2011","148.30","148.30","148.30","148.30","","-15.55%"
"01/08/2011","175.60","175.60","175.60","175.60","","1.04%"
"01/07/2011","173.80","173.80","173.80","173.80","","7.28%"
"01/06/2011","162.00","162.00","162.00","162.00","","-3.74%"
"01/05/2011","168.30","168.30","168.30","168.30","","-0.41%"
"01/04/2011","169.00","169.00","169.00","169.00","","4.97%"
"01/03/2011","161.00","161.00","161.00","161.00","","-8.00%"
"01/01/2011","175.00","175.00","175.00","175.00","","3.55%"
"01/12/2010","169.00","169.00","169.00","169.00","","6.29%"
"01/11/2010","159.00","159.00","159.00","159.00","","9.81%"
