Year,Quarter_Label,PeriodEndDate,ReportType,Y_Cost_Per_Ton,Gross_Margin_Pct,Inventory_Turnover,Net_sales_millions,COGS_millions,Tons_Shipped_thousands,AccessionNumber,Cost_of_products_sold,Net_sales,Inventories_net,Tons_Shipped,Quarter,Inventories_Previous,Average_Inventory,Inventories_millions,QuarterEnd,X1_Scrap_Price,X2_Electricity_Price,X3_Natural_Gas_Price,X4_Diesel_Price,X5_Rail_Price,X7_Hourly_Wage,X10_Graphite_Price,X_PPI_All_Commodities,X9_US_Dollar_Index,X6_Disaster_Cost_Sum,X6_Disaster_Event_Count,X12_Economic_Policy_Uncertainty
2023,Q1,2023-04-01,10-Q,1041.7162812354493,22.94152225378244,1.2004928765776666,8709.98,6711.778,6443.0,0000950170-23-020173,6711778000.0,8709980000.0,5590852000.0,6443000.0,1,5590852000.0,5590852000.0,5590.852,2023-03-31,305.63166666666666,7.773333333333333,2.6533333333333333,4.4,232.92466666666667,33.163333333333334,239.364,258.6526666666667,120.34234354838708,16874.6,4.0,171.62811279296875
2023,Q2,2023-07-01,10-Q,1065.8139040680023,26.269103760310543,1.2512647043938363,9523.256,7021.582,6588.0,0000950170-23-040234,7021582000.0,9523256000.0,5632324000.0,6588000.0,2,5590852000.0,5611588000.0,5632.324,2023-06-30,311.56600000000003,8.036666666666667,2.1633333333333336,3.9386666666666663,229.821,33.54333333333333,239.69066666666663,254.81266666666667,119.58965873015872,52207.9,14.0,183.3006846110026
2023,Q3,2023-09-30,10-Q,1098.5471153846154,21.88762786109971,1.2602500172585134,8775.734,6854.934,6240.0,0000950170-23-060729,6854934000.0,8775734000.0,5246365000.0,6240000.0,3,5632324000.0,5439344500.0,5246.365,2023-09-30,289.89366666666666,8.446666666666667,2.59,4.2716666666666665,229.611,33.906666666666666,240.164,256.8163333333334,120.20475555555556,20071.7,8.0,109.08454132080078
2023,Q4,2023-12-31,Calculated_Q4,1255.830161522469,-1.9166181053156184,1.45096392566862,7705.03,7852.706,6253.0,0000950170-24-021195,7852706000.0,7705030000.0,5577758000.0,6253000.0,4,5246365000.0,5412061500.0,5577.758,2023-12-31,282.6266666666666,7.823333333333333,2.736666666666667,4.244333333333333,234.2503333333333,34.19,239.7733333333333,252.638,121.86107540983606,1314.4,1.0,127.09095001220705
2024,Q1,2024-03-30,10-Q,1062.6450835475578,18.718993034727557,1.1844983533816589,8137.083,6613.903,6224.0,0000950170-24-055144,6613903000.0,8137083000.0,5589675000.0,6224000.0,1,5577758000.0,5583716500.0,5589.675,2024-03-31,291.51166666666666,7.743333333333333,2.1300000000000003,3.973333333333333,234.709,34.56,249.94766666666663,253.77566666666667,121.00471612903226,20626.9,7.0,118.16600799560548
2024,Q2,2024-06-29,10-Q,1094.4692319923677,14.783082494714732,1.2693016599114952,8077.172,6883.117,6289.0,0000950170-24-092479,6883117000.0,8077172000.0,5255843000.0,6289000.0,2,5589675000.0,5422759000.0,5255.843,2024-06-30,277.33933333333334,8.336666666666668,2.0866666666666664,3.8486666666666665,235.76233333333332,34.88,252.73033333333333,256.0683333333333,122.87737936507936,35694.7,14.0,135.73266092936197
2024,Q3,2024-09-28,10-Q,1079.119754680439,10.181592013067965,1.2880003112979583,7444.16,6686.226,6196.0,0000950170-24-121863,6686226000.0,7444160000.0,5126493000.0,6196000.0,3,5255843000.0,5191168000.0,5126.493,2024-09-30,265.914,8.409999999999998,2.1133333333333333,3.689333333333333,237.27633333333333,35.21,253.6383333333333,255.15533333333332,122.934590625,92142.0,5.0,136.90077463785806
2024,Q4,2024-12-31,Calculated_Q4,867.8808497536946,20.32101939274279,1.101931660251319,7075.585,5637.754,6496.0,0000950170-25-028427,5637754000.0,7075585000.0,5106000000.0,6496000.0,4,5126493000.0,5116246500.0,5106.0,2024-12-31,262.96566666666666,8.043333333333333,2.4433333333333334,3.5336666666666665,237.231,35.59,254.788,253.23833333333332,126.0080564516129,34250.0,1.0,184.395144144694
2025,Q1,2025-04-05,10-Q,1057.833089311859,7.726692209450831,1.394518432734993,7830.0,7225.0,6830.0,0000950170-25-071567,7225000000.0,7830000000.0,5256000000.0,6830000.0,1,5106000000.0,5181000000.0,5256.0,2025-03-31,263.685,8.200000000000001,4.146666666666667,3.6313333333333335,240.426,35.916666666666664,256.941,258.461,127.85811639344264,,,337.4603322347005
2025,Q2,2025-07-05,10-Q,1060.557184750733,14.46310312204352,1.3496921067363314,8456.0,7233.0,6820.0,0000950170-25-107646,7233000000.0,8456000000.0,5462000000.0,6820000.0,2,5256000000.0,5359000000.0,5462.0,2025-06-30,282.10133333333334,8.813333333333333,3.186666666666667,3.555,240.37466666666668,36.20666666666667,252.3603333333333,259.24133333333333,122.76102063492064,,,554.8351745605469
2025,Q3,2025-10-04,10-Q,1082.521405373487,13.94202558385166,1.351082450483648,8521.0,7333.0,6774.0,0001193125-25-276207,7333000000.0,8521000000.0,5393000000.0,6774000.0,3,5462000000.0,5427500000.0,5393.0,2025-09-30,280.035,9.06,3.026666666666667,3.757,240.63350000000003,36.48,240.8855,262.5025,120.6528,,,354.73972574869794
